id,comment,child_age,area,caregiver_type,channel
207,放課後に安全に過ごせる場所が限られていて、学童に入れない日は不安です。高学年でも利用しやすい居場所や、宿題を見守ってくれる場があるとありがたいです。 郊外の共働きからは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,10歳,郊外,共働き,オンラインアンケート
208,学校からのプリント、自治体サイト、地域のSNSで情報が散らばり、重要な締切を見落としそうになります。小学生向けの支援も一つのカレンダーで見たいです。 住宅地の母親からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,9歳,住宅地,母親,LINE
209,思春期に近づくと、親の悩みも幼児期とは違ってきます。学校には相談しづらい内容を、地域の専門職に匿名で聞ける窓口があると利用しやすいです。 商店街周辺の母親からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,12歳,商店街周辺,母親,オンラインアンケート
210,引っ越してきて近所に知り合いがいないため、子ども同士の遊び場や保護者のつながりを作るきっかけが欲しいです。地域別の交流会があると参加しやすいです。 集合住宅エリアの父母からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,6歳,集合住宅エリア,父母,対面ヒアリング
211,長期休みの預け先が毎年悩みです。学童だけでは時間や内容が合わない日もあるので、午前だけの体験教室や昼食付きの居場所が増えると助かります。 郊外の共働きからは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,8歳,郊外,共働き,オンラインアンケート
212,学校に行き渋る日があり、家庭だけで抱えるには負担が大きいです。相談先はありますが、どこに連絡すべきか迷うので、最初の入口を分かりやすくしてほしいです。 住宅地の母親からは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,11歳,住宅地,母親,窓口
213,転入後、医療機関や習い事、放課後の過ごし方など生活情報を一から探す必要がありました。行政の子育てページに地域マップがあると安心して動けます。 駅周辺の父親からは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,7歳,駅周辺,父親,オンラインアンケート
214,高学年になると学童を嫌がる一方、家で一人にするのも心配です。自由に過ごせて大人の目もある放課後スペースがあれば、親子の衝突も減ると思います。 商店街周辺の共働きからは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,10歳,商店街周辺,共働き,オンラインアンケート
215,子どもの友人関係の悩みは、学校に伝えるほどか判断が難しく、相談が遅れがちです。保護者が気軽に話せる定期的な相談日やオンライン窓口があると助かります。 住宅地の母親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,9歳,住宅地,母親,対面ヒアリング
216,地域のイベントは魅力的ですが、対象年齢や申込方法が分かりづらく、転入家庭には参加のハードルがあります。学校経由だけでなく、自治体LINEでも知らせてほしいです。 集合住宅エリアの父母からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、利用できない人がどこに相談すればよいか分かるようにしてほしいです。,8歳,集合住宅エリア,父母,LINE
217,一時預かりを使いたい日ほど予約が埋まっていて、前月から予定を決められない家庭には使いにくいです。空き状況をまとめて見られる仕組みがあると助かります。 駅周辺の母親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,1歳,駅周辺,母親,オンラインアンケート
218,子育て支援センターの雰囲気は良いのですが、初めて行く時に何を持って行けばいいか、予約が必要かが分かりにくく、行くまでに少し勇気が要りました。 住宅地の母親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,0歳,住宅地,母親,窓口
219,近所に頼れる親族がいないため、短時間でも見てもらえる場所があると安心です。特に通院や上の子の用事で、2時間だけ預けたい場面がよくあります。 郊外の父母からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,2歳,郊外,父母,オンラインアンケート
220,広報紙、LINE、ホームページで情報が分かれていて、結局どこを見れば最新なのか迷います。年齢別に必要な制度やイベントがまとまっていると探しやすいです。 駅周辺の母親からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,1歳,駅周辺,母親,LINE
221,産後しばらく外に出にくく、誰かに相談するほどではない悩みを抱えたまま過ごしていました。電話以外にチャットで軽く聞ける窓口があると利用しやすいです。 集合住宅エリアの母親からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,0歳,集合住宅エリア,母親,オンラインアンケート
222,保育園に入る前の過ごし方について、園庭開放や親子教室の情報を探しましたが、開催日が施設ごとに違って見落としやすいです。月間カレンダーが欲しいです。 住宅地の父親からは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,2歳,住宅地,父親,窓口
223,急な発熱後、登園できない期間に仕事ではなく家事や休息のためにも預け先が必要だと感じます。病児保育の条件や空きがもっと分かりやすいと安心です。 商店街周辺の母親からは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,3歳,商店街周辺,母親,オンラインアンケート
224,子どもが人見知りで支援センターに行ってもすぐ帰ることがあり、相談員さんと話す時間までたどり着けません。予約制の個別相談が少し増えると助かります。 郊外の母親からは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,1歳,郊外,母親,対面ヒアリング
225,土日に参加できる親子イベントが少なく、平日は家族の予定と合いません。父親も行きやすい時間帯の講座や遊び場があると、家庭内で育児を共有しやすいです。 駅周辺の父親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,2歳,駅周辺,父親,オンラインアンケート
226,離乳食や発達の相談先はあると聞きますが、困った時にすぐ名前が出てきません。母子手帳アプリなどから年齢に合わせて案内が届くと心強いです。 住宅地の母親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,0歳,住宅地,母親,アプリ
227,雨の日や暑い日に行ける屋内の遊び場が限られていて、家にこもる日が続くと親子ともに煮詰まります。予約不要で短時間利用できる場所が増えてほしいです。 郊外の祖母同居からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,3歳,郊外,祖母同居,オンラインアンケート
228,相談会の案内は見かけますが、悩みが深刻でないと行ってはいけない気がしてしまいます。雑談から入れる場や、同じ月齢の親同士がつながる機会があると嬉しいです。 集合住宅エリアの母親からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,1歳,集合住宅エリア,母親,対面ヒアリング
229,保育園のお迎え時間が勤務終了と合わず、延長保育を使っても毎日ぎりぎりです。駅近くに短時間だけ預けられる夕方の受け皿があると続けやすいです。 駅周辺の共働きからは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,4歳,駅周辺,共働き,オンラインアンケート
230,ひとり親向けの制度が複数ありますが、手当、就労支援、相談窓口が別々に載っていて全体像をつかみにくいです。状況を入力すると候補が出るページが欲しいです。 住宅地のひとり親からは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,5歳,住宅地,ひとり親,窓口
231,シフト勤務なので、平日昼間の説明会や相談時間には行けません。夜間や土曜にオンラインで相談できれば、仕事を休まず必要な情報を確認できます。 商店街周辺の共働きからは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,3歳,商店街周辺,共働き,オンラインアンケート
232,子どもの体調不良で急に休むたび、職場にも家庭にも負担を感じます。病児保育の予約方法が複雑なので、当日の流れや持ち物を一枚で確認できると助かります。 郊外の共働きからは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,2歳,郊外,共働き,LINE
233,ファミリーサポートはありがたい制度ですが、登録説明会に参加する時間を作るのが難しいです。オンライン登録や面談枠の拡大があれば利用し始めやすいです。 駅周辺のひとり親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,6歳,駅周辺,ひとり親,オンラインアンケート
234,仕事と育児で日々を回すだけで精一杯で、困りごとを相談する余裕がありません。保育園や学校を通じて、必要な支援につながる声かけがあると孤立しにくいです。 住宅地の共働きからは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,5歳,住宅地,共働き,対面ヒアリング
235,朝の登園前に急な会議が入ることがあり、早朝の預かりが少ないのが悩みです。7時前後から使える選択肢があるだけで、仕事の調整がかなり楽になります。 駅周辺の共働きからは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,4歳,駅周辺,共働き,オンラインアンケート
236,支援情報を探す時間が取れず、知っている人だけが制度を使えている印象があります。保育料通知や児童手当の案内と一緒に、関連支援も知らせてほしいです。 集合住宅エリアのひとり親からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,3歳,集合住宅エリア,ひとり親,郵送アンケート
237,残業が読めないため、学童や保育の締切時間に間に合うか毎日不安です。急な延長を相談できる仕組みや、近隣施設との連携があると安心して働けます。 郊外の共働きからは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,7歳,郊外,共働き,オンラインアンケート
238,子どもの発達について気になることがあっても、平日の専門相談は予約が先になりがちです。保護者が休みの日に相談できる枠が少しでもあると助かります。 住宅地の共働きからは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,5歳,住宅地,共働き,窓口
239,ひとりで子どもを育てていると、行政の窓口に行くこと自体が大きな負担です。相談、申請、必要書類の確認を一度に進められる伴走型の窓口があると安心です。 商店街周辺のひとり親からは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,4歳,商店街周辺,ひとり親,対面ヒアリング
240,休日出勤の日に預け先を探すのが一番大変です。通常保育とは別に、土日だけでも利用できる一時預かりや地域の見守りサービスが増えると助かります。 郊外の共働きからは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,6歳,郊外,共働き,オンラインアンケート
241,小学校に入ると支援情報が急に少なく感じます。未就学児向けの案内は多いのに、放課後の居場所や学習支援、相談先を探すのに時間がかかりました。 住宅地の母親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,7歳,住宅地,母親,オンラインアンケート
242,転入してきたばかりで、学童の申込時期や地域の子ども会の情報を後から知りました。転入手続きの時に、子育て関連の一覧を渡してもらえると助かります。 駅周辺の父母からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,8歳,駅周辺,父母,窓口
243,放課後に安全に過ごせる場所が限られていて、学童に入れない日は不安です。高学年でも利用しやすい居場所や、宿題を見守ってくれる場があるとありがたいです。 郊外の共働きからは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,10歳,郊外,共働き,オンラインアンケート
244,学校からのプリント、自治体サイト、地域のSNSで情報が散らばり、重要な締切を見落としそうになります。小学生向けの支援も一つのカレンダーで見たいです。 住宅地の母親からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,9歳,住宅地,母親,LINE
245,思春期に近づくと、親の悩みも幼児期とは違ってきます。学校には相談しづらい内容を、地域の専門職に匿名で聞ける窓口があると利用しやすいです。 商店街周辺の母親からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,12歳,商店街周辺,母親,オンラインアンケート
246,引っ越してきて近所に知り合いがいないため、子ども同士の遊び場や保護者のつながりを作るきっかけが欲しいです。地域別の交流会があると参加しやすいです。 集合住宅エリアの父母からは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,6歳,集合住宅エリア,父母,対面ヒアリング
247,長期休みの預け先が毎年悩みです。学童だけでは時間や内容が合わない日もあるので、午前だけの体験教室や昼食付きの居場所が増えると助かります。 郊外の共働きからは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,8歳,郊外,共働き,オンラインアンケート
248,学校に行き渋る日があり、家庭だけで抱えるには負担が大きいです。相談先はありますが、どこに連絡すべきか迷うので、最初の入口を分かりやすくしてほしいです。 住宅地の母親からは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,11歳,住宅地,母親,窓口
249,転入後、医療機関や習い事、放課後の過ごし方など生活情報を一から探す必要がありました。行政の子育てページに地域マップがあると安心して動けます。 駅周辺の父親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,7歳,駅周辺,父親,オンラインアンケート
250,高学年になると学童を嫌がる一方、家で一人にするのも心配です。自由に過ごせて大人の目もある放課後スペースがあれば、親子の衝突も減ると思います。 商店街周辺の共働きからは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,10歳,商店街周辺,共働き,オンラインアンケート
251,子どもの友人関係の悩みは、学校に伝えるほどか判断が難しく、相談が遅れがちです。保護者が気軽に話せる定期的な相談日やオンライン窓口があると助かります。 住宅地の母親からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,9歳,住宅地,母親,対面ヒアリング
252,地域のイベントは魅力的ですが、対象年齢や申込方法が分かりづらく、転入家庭には参加のハードルがあります。学校経由だけでなく、自治体LINEでも知らせてほしいです。 集合住宅エリアの父母からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、制度変更の前後で負担がどう変わるかを比べられる資料が必要です。,8歳,集合住宅エリア,父母,LINE
253,一時預かりを使いたい日ほど予約が埋まっていて、前月から予定を決められない家庭には使いにくいです。空き状況をまとめて見られる仕組みがあると助かります。 駅周辺の母親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,1歳,駅周辺,母親,オンラインアンケート
254,子育て支援センターの雰囲気は良いのですが、初めて行く時に何を持って行けばいいか、予約が必要かが分かりにくく、行くまでに少し勇気が要りました。 住宅地の母親からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,0歳,住宅地,母親,窓口
255,近所に頼れる親族がいないため、短時間でも見てもらえる場所があると安心です。特に通院や上の子の用事で、2時間だけ預けたい場面がよくあります。 郊外の父母からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,2歳,郊外,父母,オンラインアンケート
256,広報紙、LINE、ホームページで情報が分かれていて、結局どこを見れば最新なのか迷います。年齢別に必要な制度やイベントがまとまっていると探しやすいです。 駅周辺の母親からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,1歳,駅周辺,母親,LINE
257,産後しばらく外に出にくく、誰かに相談するほどではない悩みを抱えたまま過ごしていました。電話以外にチャットで軽く聞ける窓口があると利用しやすいです。 集合住宅エリアの母親からは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,0歳,集合住宅エリア,母親,オンラインアンケート
258,保育園に入る前の過ごし方について、園庭開放や親子教室の情報を探しましたが、開催日が施設ごとに違って見落としやすいです。月間カレンダーが欲しいです。 住宅地の父親からは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,2歳,住宅地,父親,窓口
259,急な発熱後、登園できない期間に仕事ではなく家事や休息のためにも預け先が必要だと感じます。病児保育の条件や空きがもっと分かりやすいと安心です。 商店街周辺の母親からは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,3歳,商店街周辺,母親,オンラインアンケート
260,子どもが人見知りで支援センターに行ってもすぐ帰ることがあり、相談員さんと話す時間までたどり着けません。予約制の個別相談が少し増えると助かります。 郊外の母親からは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,1歳,郊外,母親,対面ヒアリング
261,土日に参加できる親子イベントが少なく、平日は家族の予定と合いません。父親も行きやすい時間帯の講座や遊び場があると、家庭内で育児を共有しやすいです。 駅周辺の父親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,2歳,駅周辺,父親,オンラインアンケート
262,離乳食や発達の相談先はあると聞きますが、困った時にすぐ名前が出てきません。母子手帳アプリなどから年齢に合わせて案内が届くと心強いです。 住宅地の母親からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,0歳,住宅地,母親,アプリ
263,雨の日や暑い日に行ける屋内の遊び場が限られていて、家にこもる日が続くと親子ともに煮詰まります。予約不要で短時間利用できる場所が増えてほしいです。 郊外の祖母同居からは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,3歳,郊外,祖母同居,オンラインアンケート
264,相談会の案内は見かけますが、悩みが深刻でないと行ってはいけない気がしてしまいます。雑談から入れる場や、同じ月齢の親同士がつながる機会があると嬉しいです。 集合住宅エリアの母親からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,1歳,集合住宅エリア,母親,対面ヒアリング
265,保育園のお迎え時間が勤務終了と合わず、延長保育を使っても毎日ぎりぎりです。駅近くに短時間だけ預けられる夕方の受け皿があると続けやすいです。 駅周辺の共働きからは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,4歳,駅周辺,共働き,オンラインアンケート
266,ひとり親向けの制度が複数ありますが、手当、就労支援、相談窓口が別々に載っていて全体像をつかみにくいです。状況を入力すると候補が出るページが欲しいです。 住宅地のひとり親からは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,5歳,住宅地,ひとり親,窓口
267,シフト勤務なので、平日昼間の説明会や相談時間には行けません。夜間や土曜にオンラインで相談できれば、仕事を休まず必要な情報を確認できます。 商店街周辺の共働きからは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,3歳,商店街周辺,共働き,オンラインアンケート
268,子どもの体調不良で急に休むたび、職場にも家庭にも負担を感じます。病児保育の予約方法が複雑なので、当日の流れや持ち物を一枚で確認できると助かります。 郊外の共働きからは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,2歳,郊外,共働き,LINE
269,ファミリーサポートはありがたい制度ですが、登録説明会に参加する時間を作るのが難しいです。オンライン登録や面談枠の拡大があれば利用し始めやすいです。 駅周辺のひとり親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,6歳,駅周辺,ひとり親,オンラインアンケート
270,仕事と育児で日々を回すだけで精一杯で、困りごとを相談する余裕がありません。保育園や学校を通じて、必要な支援につながる声かけがあると孤立しにくいです。 住宅地の共働きからは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,5歳,住宅地,共働き,対面ヒアリング
271,朝の登園前に急な会議が入ることがあり、早朝の預かりが少ないのが悩みです。7時前後から使える選択肢があるだけで、仕事の調整がかなり楽になります。 駅周辺の共働きからは、別の地区の回答でも、急な予定変更に対応できるかが重要なため、変更後の問い合わせ先と代替手段を分かりやすく示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,4歳,駅周辺,共働き,オンラインアンケート
272,支援情報を探す時間が取れず、知っている人だけが制度を使えている印象があります。保育料通知や児童手当の案内と一緒に、関連支援も知らせてほしいです。 集合住宅エリアのひとり親からは、説明会後の意見としても、家族に頼れない場合の選択肢が必要なため、関係する部署や地域団体と連携して改善してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,3歳,集合住宅エリア,ひとり親,郵送アンケート
273,残業が読めないため、学童や保育の締切時間に間に合うか毎日不安です。急な延長を相談できる仕組みや、近隣施設との連携があると安心して働けます。 郊外の共働きからは、家族や支援者の視点でも、窓口、紙、Webのどれでも確認できることが大切なため、具体的な運用条件まで示してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,7歳,郊外,共働き,オンラインアンケート
274,子どもの発達について気になることがあっても、平日の専門相談は予約が先になりがちです。保護者が休みの日に相談できる枠が少しでもあると助かります。 住宅地の共働きからは、日常的に利用する人からも、実際の生活動線に合う運用でないと使い続けにくいため、地域別の影響を確認してから判断してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,5歳,住宅地,共働き,窓口
275,ひとりで子どもを育てていると、行政の窓口に行くこと自体が大きな負担です。相談、申請、必要書類の確認を一度に進められる伴走型の窓口があると安心です。 商店街周辺のひとり親からは、初めて制度を調べた人からも、利用する時間帯や曜日で困り方が変わるため、試行期間を設けて利用者の声を再確認してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,4歳,商店街周辺,ひとり親,対面ヒアリング
276,休日出勤の日に預け先を探すのが一番大変です。通常保育とは別に、土日だけでも利用できる一時預かりや地域の見守りサービスが増えると助かります。 郊外の共働きからは、平日昼間に動きづらい人からも、情報の届き方に個人差があるため、対象者に届く案内方法も合わせて検討してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,6歳,郊外,共働き,オンラインアンケート
277,小学校に入ると支援情報が急に少なく感じます。未就学児向けの案内は多いのに、放課後の居場所や学習支援、相談先を探すのに時間がかかりました。 住宅地の母親からは、地域活動に関わる人からも、費用負担と手続きの分かりやすさが利用を左右するため、必要な人が使えなくならないよう段階的に見直してほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,7歳,住宅地,母親,オンラインアンケート
278,転入してきたばかりで、学童の申込時期や地域の子ども会の情報を後から知りました。転入手続きの時に、子育て関連の一覧を渡してもらえると助かります。 駅周辺の父母からは、同じ立場の利用者からも、地区ごとの距離や交通手段の違いが大きいため、利用実績だけでなく困っている人の声も判断材料にしてほしいです。 補足として、地区ごとの実情を一律に扱わないでほしいです。,8歳,駅周辺,父母,窓口
